race_iat,openness,conscientiousness,extroversion,agreeableness,neuroticism
0.717,NA,4.222222222222222,3.75,NA,3.25
0.746,NA,4.333333333333333,3.75,NA,3.625
0.311,3.5,NA,NA,4,NA
0.861,3.8,NA,NA,4.333333333333333,NA
0.506,4.2,NA,NA,3.2222222222222223,NA
0.294,NA,4.444444444444445,4.375,NA,4.125
-0.334,4.4,NA,NA,4.111111111111111,NA
0.298,4.9,NA,NA,4.666666666666667,NA
0.322,4.9,NA,NA,4.333333333333333,NA
0.658,4.7,NA,NA,3.888888888888889,NA
0.133,NA,4.111111111111111,4.375,NA,4.25
0.819,3.1,NA,NA,3.4444444444444446,NA
0.82,NA,4.666666666666667,4,NA,4
0.777,4.7,NA,NA,4.333333333333333,NA
0.362,4.3,NA,NA,3.7777777777777777,NA
-0.979,NA,3.888888888888889,4.375,NA,3.625
-0.423,4.4,NA,NA,4.111111111111111,NA
0.294,4.2,NA,NA,4.111111111111111,NA
0.833,4.3,NA,NA,4.111111111111111,NA
0.911,3.8,NA,NA,3.7777777777777777,NA
0.496,5,NA,NA,3.4444444444444446,NA
0.695,4.6,NA,NA,5,NA
0.106,NA,4.777777777777778,4.5,NA,3.5
0.174,4.8,NA,NA,4,NA
0.102,NA,3,4.125,NA,4
0.603,NA,4.555555555555555,3.625,NA,4.25
0.321,NA,3.6666666666666665,4.625,NA,2.75
0.352,4,NA,NA,4.222222222222222,NA
-1.108,NA,4.111111111111111,5,NA,3.625
0.457,4.1,NA,NA,4.555555555555555,NA
0.615,4.2,NA,NA,3.6666666666666665,NA
-0.04,NA,4.888888888888889,5,NA,4.75
0.736,NA,4.111111111111111,4.5,NA,3.625
0.06,NA,4.888888888888889,3.875,NA,4.25
0.383,4.6,NA,NA,4.222222222222222,NA
0.824,NA,4.777777777777778,4.5,NA,3.75
0.099,4.4,NA,NA,3.7777777777777777,NA
0.615,4.4,NA,NA,3.7777777777777777,NA
0.711,NA,4.444444444444445,4.25,NA,3.5
0.363,3.9,NA,NA,3.7777777777777777,NA
-0.08,NA,4,3.75,NA,3.875
0.23,NA,3.4444444444444446,4.5,NA,4.875
0.426,3.5,NA,NA,3.7777777777777777,NA
0.496,3.4,NA,NA,4.444444444444445,NA
-0.791,4.3,NA,NA,3.888888888888889,NA
0.465,NA,4.666666666666667,3.75,NA,3.25
0.277,NA,3.7777777777777777,3.875,NA,3.875
-0.258,4.8,NA,NA,4,NA
0.541,NA,4.111111111111111,4.625,NA,4
0.08,NA,3.888888888888889,4.25,NA,3.375
0.196,4.6,NA,NA,3.6666666666666665,NA
-0.112,3.9,NA,NA,4,NA
1.113,NA,2.888888888888889,4.5,NA,4.5
-0.093,NA,4,5,NA,4.375
0.391,NA,4.444444444444445,3.625,NA,4.25
0.568,4.4,NA,NA,3.6666666666666665,NA
0.421,4.4,NA,NA,3.6666666666666665,NA
1.018,4.6,NA,NA,4,NA
0.286,4.3,NA,NA,2.888888888888889,NA
0.594,NA,4.555555555555555,3.25,NA,4
-0.073,NA,3.888888888888889,4.5,NA,3.5
